"b","c","year","r","r_p","f","f_msy","f_msy_p","f_ratio","f_ratio_p","f_ratio_err","id","r_0","r_s","r_p_s","hcr","b_0","ai","status","growth"
1323.22418548435,44.8101112319972,100,0.0171191949254706,0.0569539344963135,0.0338643381246807,0.0142659957712255,0.0474616120802613,3.33119356019547,1.01352066744477,1.19530864164569,1,0.1,-0.01767,-0.00567,0.7,1500,10,"good","slow"
1104.29784726722,57.8196739627483,100,0.0171191949254706,0.0569539344963135,0.052358767252724,0.0142659957712255,0.0474616120802613,3.60532756774748,1.09692635290939,1.04817576722463,2,0.1,-0.01767,-0.00567,0.7,4000,10,"good","slow"
1403.69443572913,70.4955446493288,100,0.0171191949254706,0.0569539344963135,0.0502214319975636,0.0142659957712255,0.0474616120802613,3.45815462764073,1.05214876379864,1.0574583568948,3,0.1,-0.01767,-0.00567,0.7,6000,10,"good","slow"
923.348111302042,65.6640025606271,100,0.0342383898509413,0.113907868992627,0.0711151100618296,0.0285319915424511,0.0949232241605225,3.49775323820525,1.06419670081701,1.11309856271322,4,0.2,-0.01767,-0.00567,0.7,1500,10,"over","slow"
1183.23608393634,100.405326140972,100,0.0342383898509413,0.113907868992627,0.0848565451173084,0.0285319915424511,0.0949232241605225,2.78241155040911,0.846552912857818,0.796342001859521,5,0.2,-0.01767,-0.00567,0.7,4000,10,"good","slow"
814.738451666604,85.9263966669667,100,0.0342383898509413,0.113907868992627,0.105465007194884,0.0285319915424511,0.0949232241605225,3.45815462764073,1.05214876379864,0.986405269805362,6,0.2,-0.01767,-0.00567,0.7,6000,10,"over","slow"
666.313846556346,96.7040459868889,100,0.0513575847764119,0.170861803488941,0.145132877677203,0.0427979873136766,0.142384836240784,3.17256529542426,0.965257778518828,0.922426657886058,7,0.3,-0.01767,-0.00567,0.7,1500,10,"over","slow"
886.454783506361,102.34216371573,100,0.0513575847764119,0.170861803488941,0.115451081792256,0.0427979873136766,0.142384836240784,2.52372929742323,0.767848447036569,0.760680160758872,8,0.3,-0.01767,-0.00567,0.7,4000,10,"over","slow"
604.394506897957,86.7244503653621,100,0.0513575847764119,0.170861803488941,0.143489805707325,0.0427979873136766,0.142384836240784,3.13664818833626,0.95432994448856,0.796707772101533,9,0.3,-0.01767,-0.00567,0.7,6000,10,"over","slow"
523.556749029559,91.8945398203853,100,0.0684767797018826,0.227815737985254,0.175519731128893,0.0570639830849021,0.189846448321045,2.87761024528277,0.875517259427509,0.965256171525725,10,0.4,-0.01767,-0.00567,0.7,1500,10,"over","medium"
983.242709340185,158.923008240743,100,0.0684767797018826,0.227815737985254,0.161631514509159,0.0570639830849021,0.189846448321045,2.64991576229439,0.806240869388398,0.740065894087154,11,0.4,-0.01767,-0.00567,0.7,4000,10,"over","medium"
540.660556987552,108.610989586061,100,0.0684767797018826,0.227815737985254,0.200885727990254,0.0570639830849021,0.189846448321045,3.45815462764073,1.05214876379864,1.00683773887071,12,0.4,-0.01767,-0.00567,0.7,6000,10,"over","medium"
627.408060828926,144.535773565041,100,0.0855959746273532,0.284769672481568,0.230369647106672,0.0713299788561277,0.237308060401306,3.02149075754691,0.919293122398884,0.907599344581112,13,0.5,-0.01767,-0.00567,0.7,1500,10,"over","medium"
643.618470212951,130.036285133234,100,0.0855959746273532,0.284769672481568,0.202039393136449,0.0713299788561277,0.237308060401306,2.64991576229439,0.806240869388398,0.77208305807249,14,0.5,-0.01767,-0.00567,0.7,4000,10,"over","medium"
